date,BRVM-COMPOSITE,BRVM-FINANCES,CAC_40,S&P_500
2020-05-11,136.88,53.0,4490.22021484375,2930.18994140625
2020-05-12,136.9,53.04,4472.5,2870.1201171875
2020-05-13,137.49,52.86,4344.9501953125,2820.0
2020-05-14,136.95,52.42,4273.1298828125,2852.5
2020-05-15,137.15,52.48,4277.6298828125,2863.699951171875
2020-05-18,131.24,52.15,4498.33984375,2953.909912109375
2020-05-19,131.35,52.39,4458.16015625,2922.93994140625
2020-05-20,,,4496.97998046875,2971.610107421875
2020-05-21,,,4445.4501953125,2948.510009765625
2020-05-22,132.63,52.41,4444.56005859375,2955.449951171875
2020-05-25,132.4,52.22,4539.91015625,
2020-05-26,132.12,52.16,4606.240234375,2991.77001953125
2020-05-27,134.19,52.43,4688.740234375,3036.1298828125
2020-05-28,134.21,52.6,4771.39013671875,3029.72998046875
2020-05-29,135.03,52.49,4695.43994140625,3044.31005859375
2020-06-01,,,4762.77978515625,3055.72998046875
2020-06-02,136.7,52.79,4858.97021484375,3080.820068359375
2020-06-03,136.09,53.48,5022.3798828125,3122.8701171875
2020-06-04,138.2,53.65,5011.97998046875,3112.35009765625
2020-06-05,138.83,53.95,5197.7900390625,3193.929931640625
2020-06-08,138.73,54.24,5175.52001953125,3232.389892578125
2020-06-09,138.72,54.55,5095.10986328125,3207.179931640625
2020-06-10,138.64,54.56,5053.419921875,3190.139892578125
2020-06-11,137.08,54.51,4815.60009765625,3002.10009765625
2020-06-12,137.76,54.9,4839.259765625,3041.31005859375
2020-06-15,135.87,54.61,4815.72021484375,3066.590087890625
2020-06-16,135.75,54.44,4952.4599609375,3124.739990234375
2020-06-17,135.14,54.17,4995.97021484375,3113.489990234375
2020-06-18,135.23,54.47,4958.75,3115.340087890625
2020-06-19,135.77,54.65,4979.4501953125,3097.739990234375
2020-06-22,135.85,54.66,4948.7001953125,3117.860107421875
2020-06-23,135.59,54.41,5017.68017578125,3131.2900390625
2020-06-24,135.32,54.27,4871.35986328125,3050.330078125
2020-06-25,134.36,53.79,4918.580078125,3083.760009765625
2020-06-26,134.88,53.79,4909.64013671875,3009.050048828125
2020-06-29,135.28,54.3,4945.4599609375,3053.239990234375
2020-06-30,135.86,54.19,4935.990234375,3100.2900390625
2020-07-01,135.81,54.03,4926.93994140625,3115.860107421875
2020-07-02,135.0,53.97,5049.3798828125,3130.010009765625
2020-07-03,134.81,53.75,5007.14013671875,
2020-07-06,134.05,53.26,5081.509765625,3179.719970703125
2020-07-07,133.2,53.0,5043.72998046875,3145.320068359375
2020-07-08,132.09,53.05,4981.1298828125,3169.93994140625
2020-07-09,131.68,52.83,4921.009765625,3152.050048828125
2020-07-10,131.33,52.72,4970.47998046875,3185.0400390625
2020-07-13,131.37,52.88,5056.22998046875,3155.219970703125
