date,r_log_s,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2024-06-07,-0.11158420502790001,1.2147196022156694,1.311373519338797,1.1983600230889484,1.301151707715742,1.2878617690503447,1.2878617690503447
2024-06-10,0.25775299782409,1.177427344802614,1.2685261580970553,1.157114594756285,1.2378848024955715,1.2600199720384155,1.2600199720384155
2024-06-11,0.27067148552095,1.1458395953790916,1.2280686172670845,1.1240280049766593,1.1907736804972484,1.230977266401185,1.230977266401185
2024-06-12,0.84677202418873,1.1150842832680539,1.1870792979984737,1.0915109564694039,1.1361215257347208,1.2022865166141488,1.2022865166141488
2024-06-13,0.23419114371167,1.0860739116793874,1.1499773824363668,1.0609811824926365,1.0885586912741507,1.1757805380150812,1.1757805380150812
2024-06-14,-0.03939382809974,1.1202605004461759,1.1886811411121851,1.0968499175663489,1.1562370883457562,1.1935909074783475,1.1935909074783475
2024-06-17,0.76351643723205,1.0891519185659653,1.1494418328187828,1.0580348757172326,1.0992266657425416,1.1666183935991898,1.1666183935991898
2024-06-18,0.25181541815171,1.059353071754612,1.1131629289274587,1.0270382091066776,1.0502443418768308,1.1401229949382679,1.1401229949382679
2024-06-20,-0.25291273954115,1.0824291881698,1.1402245616423468,1.0572107961204666,1.1043660333889422,1.1504573501393371,1.1504573501393371
2024-06-21,-0.15633517188252,1.0541067259459318,1.1019539508314429,1.0272008474742818,1.0528114754941988,1.1223071437259287,1.1223071437259287
2024-06-24,-0.30698791558663996,1.0391497597214565,1.0877123066616623,1.015418340764461,1.0490975391684496,1.1074610038991934,1.1074610038991934
2024-06-25,0.39258736791813,1.0191977886360644,1.065722124682989,0.9923572156010282,1.0277809198588612,1.089175670654433,1.089175670654433
2024-06-26,0.15711962247204,1.0097041834531328,1.058214948703267,0.9877479112465993,1.032829478815795,1.0777214469647967,1.0777214469647967
2024-06-27,0.0906909856799,0.9948482389155556,1.0377225598643873,0.9770010445992564,1.01539979830903,1.0594182099460479,1.0594182099460479
2024-06-28,-0.40920134623695,0.9710271301190847,1.0070524242987469,0.9386574027871111,0.959082250625582,1.0370659694155582,1.0370659694155582
2024-07-01,0.26719909814295,0.9472928309361335,0.9773726813691089,0.8927206167354409,0.8989901024183512,1.0147045112144883,1.0147045112144883
2024-07-02,0.6176205771185,0.9545557184353707,0.9942622010690786,0.907829742016389,0.935867035054907,1.0209312687334127,1.0209312687334127
2024-07-03,0.50715622695336,0.9356002671299096,0.968513316974579,0.8856346654402573,0.9033114310140119,1.0001395977876943,1.0001395977876943
2024-07-05,0.54339743609695,0.9505878375327642,0.9861763255172428,0.9102699776343729,0.9402796009146085,1.007438979544922,1.007438979544922
2024-07-08,0.10161824764043999,0.9504266879747071,0.9843768304748821,0.9179172145527084,0.9515186244914197,1.001066543990213,1.001066543990213
2024-07-09,0.07407974780654,0.95520392773364,0.9886745670943736,0.9320837273186046,0.9697747656815334,0.9995170143350103,0.9995170143350103
2024-07-10,1.0156314878105799,0.9314283556401007,0.958385439950728,0.88726524458578,0.9078034372510423,0.9769946539845127,0.9769946539845127
2024-07-11,-0.8801649969266699,0.9076920808626137,0.9273617478304935,0.8402742184760099,0.852905156638774,0.9524723688633122,0.9524723688633122
2024-07-12,0.55018640249651,0.9977490753334561,1.0448820430867138,0.9283957579881112,0.9793019240355745,1.0569111216417473,1.0569111216417473
