date,r_log_ca,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2020-08-20,-1.33470039932761,1.7685618933139866,2.2544196905884966,1.8493661709025089,2.3750940698083025,2.299995711499304,3.069461422386762,2.2718528426365654,2.2718528426365654
2020-08-21,-0.30405426138832004,1.6685068032808443,2.1584408010617433,1.7887558443391076,2.3202271847398968,2.0690388806809836,2.8191597613982236,2.1875981673231033,2.1875981673231033
2020-08-24,2.25287351457782,1.837299206922184,2.2924927552361725,1.9715384796172246,2.49408190142575,3.146821263297803,3.8307394243276067,2.3496336031246616,2.3496336031246616
2020-08-25,0.00758539813174851,1.6616004399455326,2.1181317227067433,1.7947350922836356,2.2977792879932495,2.690574607385709,3.4499289026763162,2.159161121137533,2.159161121137533
2020-08-26,0.7986788698176,2.2174150682804727,2.65632259788133,2.2499666673720546,2.7844131563997765,2.500284876238164,3.205547313141055,2.6766016522864033,2.6766016522864033
2020-08-27,-0.64504733970649,1.96389262442088,2.427198932189424,1.937322642181409,2.4584891467845695,2.356724562048808,2.9867510574119063,2.4066564248932125,2.4066564248932125
2020-08-28,-0.26011373654611003,1.8307902148674386,2.3024781686611817,1.8645264358095162,2.383338213473578,2.1044285478990514,2.765497754909194,2.2997025545123155,2.2997025545123155
2020-08-31,-1.11998818372522,1.72363273698428,2.189920002244801,1.8111431187406373,2.3162606438463875,1.869141784237533,2.520879275744053,2.203513941987056,2.203513941987056
2020-09-01,-0.1845184472895,1.5644412235081688,2.0319510851417606,1.6553041552458598,2.143345346161528,1.638892366954561,2.2838419178304656,2.0331413413193857,2.0331413413193857
2020-09-02,1.87852337183468,1.6752993292343308,2.1131674595997527,1.7946925935278435,2.2748050795003736,1.7923712295507535,2.388141097954882,2.145665578677261,2.145665578677261
2020-09-03,-0.44257893037221996,1.5155145000199781,1.9500928172561984,1.61940770257325,2.077874812778858,1.8952311662945636,2.334792309580623,1.963849799362345,1.963849799362345
2020-09-04,-0.89127453374441,1.9261009126273818,2.331187753380697,1.9769601087707682,2.4510358298488533,2.2600448495805217,2.7209704766962557,2.349449720032229,2.349449720032229
2020-09-07,1.76972875962178,1.760861164301237,2.1828174398239426,1.841645758709153,2.3145175400716513,2.2093183977994966,2.599474850972288,2.198378219732312,2.198378219732312
2020-09-08,-1.5996805438971502,1.7369644570950489,2.1543652766915975,1.867848685964514,2.3384622632974774,1.9526973464200623,2.3801671209755173,2.1955926951300024,2.1955926951300024
2020-09-09,1.38693304781962,2.0106683232732947,2.420168481748978,2.1243113551664785,2.6173283274172556,1.7583040839307817,2.1871150790751583,2.4733144943945478,2.4733144943945478
2020-09-10,-0.37846423838438,2.1942832021384966,2.6155965653045854,2.3238171379406394,2.8421672658189796,1.8189398703795214,2.143475579771617,2.6850301667724326,2.6850301667724326
2020-09-11,0.20302034340920003,2.1802769107279865,2.6266430414135225,2.3500676485867964,2.901195464995211,1.7391669988118346,2.1030915220572246,2.7142695482920445,2.7142695482920445
2020-09-14,0.35176936695104,1.962145043627254,2.427867121284293,2.123165560673266,2.6714274101965096,1.6950808068507874,2.0890229570402568,2.4936280967673166,2.4936280967673166
2020-09-15,0.31720568536194,1.7481557567079054,2.2238240807957235,1.8432709308857818,2.3778936574212466,1.4879579800458616,1.9127503923449662,2.252450739532558,2.252450739532558
2020-09-16,0.12797323927805998,1.5777974896397524,2.0586803551626516,1.6566420199058733,2.1798712585319953,1.2974000863627864,1.7368532854260077,2.0672407476492216,2.0672407476492216
2020-09-17,-0.69053464738115,1.4327551368206721,1.90798800699179,1.4948560779447497,1.998563001243656,2.1330415038775197,2.537615254742473,1.8988734690852531,1.8988734690852531
2020-09-18,-1.2242473110735799,1.2961013986490777,1.7583762473952318,1.3057215474756736,1.7783926057368233,1.8541513490431998,2.3002094295875724,1.7235795588542506,1.7235795588542506
2020-09-21,-3.8108181526801697,1.3205887306282862,1.7507447505832947,1.3765342507380292,1.829869636507194,1.6336620347446988,2.1061063712917347,1.7454818526090212,1.7454818526090212
2020-09-22,-0.40147333446791994,1.5575794744612628,1.9543005398176947,1.619802101330108,2.067266674139901,1.4482990300986607,1.9292485537339377,1.9725287969054472,1.9725287969054472
2020-09-23,0.61451088042187,3.3036815668394905,3.75727770295491,2.970668253750879,3.4846935412368976,1.2768472236170723,1.7657866688791404,3.529957967271573,3.529957967271573
2020-09-24,-0.82886300433406,2.9041844550255576,3.4137615357061355,2.6149293747883653,3.151200817245444,2.306942305798444,2.746410597923897,3.1789699744481226,3.1789699744481226
2020-09-25,-0.69446102417861,2.581953421698663,3.133234783506007,2.3541039746862733,2.907183709298815,2.0293651536762307,2.515014215265973,2.9012043171942254,2.9012043171942254
2020-09-28,2.37367651179038,2.3808915448762256,2.954246980659855,2.2589924129399583,2.820236606411197,4.1650232048499225,4.7696891711663225,2.762484320293666,2.762484320293666
2020-09-29,-0.23152055630692997,2.1881564616195024,2.7720005397069074,2.1441703827947043,2.702930762074222,3.6355218994555853,4.323344679444502,2.6083123051361587,2.6083123051361587
2020-09-30,-0.59425952052078,2.6039124976846977,3.163080628000686,2.548982165478248,3.1470751407429116,3.3830284493314795,4.16407182992564,3.0539572058993376,3.0539572058993376
2020-10-01,0.42794436626390997,2.313393644164697,2.899599956715569,2.2487530122468082,2.838778259844526,2.9971672675877854,3.7914315112994847,2.768830793081425,2.768830793081425
2020-10-02,0.017408036524720002,2.1144173015644054,2.716432915479521,2.108860620141432,2.69680555815905,2.795732026639789,3.5322023254015127,2.6016227557086773,2.6016227557086773
2020-10-05,0.96920312912893,1.89946855676229,2.515209687359413,1.9020783978355755,2.4835552925051556,2.75863287797068,3.378383861650578,2.3929140831972293,2.3929140831972293
2020-10-06,0.48303660117292996,1.6971930192832123,2.321598431755157,1.660246939100847,2.2186938720513054,2.657149012329757,3.217303036140281,2.1716838626964634,2.1716838626964634
2020-10-07,-0.27532650594342,1.6609477425384687,2.2507254148970723,1.691725408161495,2.2343119182839395,2.289723294231861,2.8990321112721364,2.1459548239568362,2.1459548239568362
2020-10-08,0.61139918869152,1.5209957392359077,2.102452954703331,1.5746738455695959,2.103677251635933,2.0955658661616012,2.6856853682098687,2.004660624809028,2.004660624809028
2020-10-09,0.70739723796467,1.407162510877687,1.9611705092848435,1.4747914347615374,1.973396916565927,1.8217964830221955,2.435374416761377,1.8675820101160594,1.8675820101160594
2020-10-12,0.6544382198991999,1.3348606038616937,1.8581927996122822,1.4320840787624036,1.9112259971810286,1.6401080134112047,2.241561608710511,1.7883084411122707,1.7883084411122707
2020-10-13,-0.6382714370952199,1.3105254187139637,1.7942345571955758,1.4324348402588878,1.892849466571822,1.8099708961182086,2.37581322496226,1.7538623285021964,1.7538623285021964
2020-10-14,-0.12032653041842,1.2712220304671769,1.7271320502002763,1.4108107682022308,1.8581930557861852,1.7722162409947873,2.2562365081588904,1.7085503717615336,1.7085503717615336
2020-10-15,-2.13198341598694,1.2865529582538255,1.711375923610147,1.4432304277268262,1.8776181460725276,1.688968417673205,2.128923838128447,1.7184412923693135,1.7184412923693135
2020-10-16,2.01453908534556,1.1872602068300957,1.5963760154234987,1.3171540399368942,1.7278417372816892,1.5754384708072167,2.034231740873544,1.5906553079083592,1.5906553079083592
2020-10-19,0.13686832336442,1.976510651069984,2.3608267511666616,1.9180571804221436,2.3590899055432684,1.8769737746554362,2.322874103110649,2.280864713184667,2.280864713184667
2020-10-20,-0.27026895093389,2.2925043974727273,2.71123095332222,2.255426152272729,2.748670056165591,1.6401276165402159,2.111126001324663,2.6587597646786234,2.6587597646786234
2020-10-21,-1.54000424727339,2.0346443906486713,2.4855496529534515,1.9435131707285531,2.4344300013701794,1.628249281683834,2.1011200157776475,2.394944509181013,2.394944509181013
2020-10-22,-0.052967030268960005,1.8365808292778332,2.3078751160416533,1.7733616406239148,2.258002461258087,1.4515420531922838,1.9191500803715666,2.2082822433409746,2.2082822433409746
2020-10-23,1.19374708061506,2.040890719337386,2.5108767127607896,2.0259018489094838,2.533457511325459,1.6045939536404579,1.9377546566712704,2.4585139932723017,2.4585139932723017
2020-10-26,-1.92319982378385,1.825885208857261,2.310757615872787,1.7795604879862434,2.2720856976078525,1.417288209076722,1.7767064721642354,2.229756333788474,2.229756333788474
2020-10-27,-1.79038882892722,1.8374903910092375,2.320580347485362,1.8637868909409732,2.366416546421868,1.248762394779232,1.6216918211605509,2.281060214779687,2.281060214779687
2020-10-28,-3.4306483580011897,2.221893531703004,2.6965504846666906,2.231066899617466,2.763611410761404,1.2330987607382997,1.5992567037394652,2.669696512879386,2.669696512879386
2020-10-29,-0.031730196590649996,2.423162210043529,2.9161398417852564,2.468123861757255,3.040279555040929,1.2804303597984663,1.5716556627211764,2.9153040353748807,2.9153040353748807
2020-10-30,0.53624208353825,3.4453739259206677,4.006175901395986,3.278083417674268,3.961695714780772,1.12975055427472,1.4356444252524727,3.887940636389158,3.887940636389158
2020-11-02,2.08722564557247,3.0180912563883617,3.639142517653106,2.772923053355402,3.463019626684517,1.0138217394860198,1.3304967980670563,3.4657643405047316,3.4657643405047316
2020-11-03,2.4108304579555,2.679272421077214,3.340460722133121,2.4664773938577467,3.1574814436701852,1.044991564135338,1.2986299512167936,3.151947482893096,3.151947482893096
2020-11-04,2.41036939156884,2.816038190459173,3.491141489939861,2.697165587328984,3.4258770806732315,0.9766624037033377,1.2391653545671852,3.3676539026120245,3.3676539026120245
2020-11-05,1.23431711650427,3.05339300616846,3.7523396503667565,2.9852041343061275,3.771874051043434,0.889255680099388,1.151247755130994,3.6667602498091276,3.6667602498091276
2020-11-06,-0.46477013557671004,3.221015199300081,3.9551422353486587,3.2023082821620275,4.054375947227743,1.21750783637886,1.468690770577883,3.896415761344354,3.896415761344354
2020-11-09,7.29531231572462,2.9661047521156885,3.735027228616719,3.0065191291438222,3.8788175837558985,1.0976534347048412,1.3704656177755177,3.681581744311747,3.681581744311747
2020-11-10,1.53695562488405,2.657945105540764,3.4437516891190514,2.691541638207293,3.5377194025380985,1.001799745509959,1.2866348887249024,3.3676330554279086,3.3676330554279086
2020-11-11,0.48305158221059,5.959464575615321,6.903635518217423,5.187228538043161,6.215687288191149,1.0460022917369471,1.3262381931350455,6.285032963082973,6.285032963082973
2020-11-12,-1.52930109578955,5.3599570949268225,6.41240014759126,4.675493226649555,5.792017422912643,1.21305784219497,1.3754402804845045,5.815853092259284,5.815853092259284
2020-11-13,0.32748375476146,4.748124173336942,5.860322055611038,4.006888611402148,5.117110015196304,1.074392264436963,1.2655274435156143,5.204829082598985,5.204829082598985
2020-11-16,1.6831000444959099,4.371296431741381,5.5333550258618525,3.798129051216541,4.937222866716598,1.0091753566743529,1.1974788966618426,4.936391190549896,4.936391190549896
2020-11-17,0.21032534266388997,3.8874250943989357,5.099630070324627,3.272424186302711,4.38173985283046,1.011311478850323,1.2134503186015468,4.437620543103408,4.437620543103408
2020-11-18,0.51753854552716,3.67437513505362,4.889410375603004,3.223022269595286,4.319815513807005,1.0326958293539303,1.2479100114098292,4.312545640586623,4.312545640586623
2020-11-19,-0.6697580018968,3.2694632599296867,4.497441049492522,2.7774855578592392,3.8103883816734414,0.9716538583904248,1.2023361025404329,3.8671774847595413,3.8671774847595413
2020-11-20,0.38703631820421003,2.921088928729377,4.149107252821671,2.484074903941721,3.4636725841979583,0.8765552988745597,1.1203699724758984,3.484289639577153,3.484289639577153
2020-11-23,-0.06807828340922001,2.658977988701929,3.877180549684454,2.3315871752378796,3.2670939882134613,0.820009624257408,1.0552953286033884,3.221665075803436,3.221665075803436
2020-11-24,1.19940989545003,2.364735218752712,3.5673834749278117,2.0779685699014068,2.9556969383263,0.9085196107403355,1.0727486061959635,2.8761560873494214,2.8761560873494214
2020-11-25,0.231275082088,2.0892815312605966,3.2458634445560524,1.827960204849685,2.633023732048683,0.8832038973403776,1.0642460567372742,2.5527221577711217,2.5527221577711217
2020-11-26,-0.08080387666965,2.0424982628923702,3.1148954918221285,1.910958593988255,2.6936679724951427,0.8072600807018291,0.9979138439613731,2.5852405091244774,2.5852405091244774
2020-11-27,0.56229831020224,1.8135687462062158,2.8306904903513135,1.6986855971882964,2.417552984740512,0.8276600791512664,0.9847152812180396,2.3114929924228376,2.3114929924228376
2020-11-30,-1.43264670860232,1.6115355241424125,2.559566992304875,1.5172273710202329,2.1755351057299532,1.7907775114707352,2.021809740924943,2.0639357815912347,2.0639357815912347
2020-12-01,1.13675552846302,1.4828703779351133,2.3545299366019004,1.4526446235284893,2.0745108156968888,1.6054030823571934,1.8635155026786634,1.9362053805255077,1.9362053805255077
2020-12-02,0.02453509828075,1.785677878460165,2.569337654219264,1.7536522241393604,2.3814969998637494,1.435665953315544,1.717940502102149,2.2577606237532315,2.2577606237532315
2020-12-03,-0.15505274745583,1.7949918761471855,2.5364774250070186,1.8302044286432424,2.4536630145466547,1.5441955720236904,1.7337655739609927,2.303912085502564,2.303912085502564
2020-12-04,0.62216874696129,1.6139367107585212,2.3261764361899404,1.6068107764979864,2.189271990555424,1.381793778821979,1.6015819550726735,2.077937016117013,2.077937016117013
2020-12-07,-0.63975043604974,1.467847311931661,2.1374097632405338,1.4673172519406188,2.0110047375316875,1.433494923268459,1.691315929013714,1.9038346519632514,1.9038346519632514
2020-12-08,-0.22830805827709,1.3967609458920223,2.0199086141792835,1.439818968160401,1.9595775159768622,1.2578982003335022,1.5461005667211496,1.8377588763725132,1.8377588763725132
2020-12-09,-0.24938316669002003,1.3845446710372389,1.9630298666805508,1.4665940669023596,1.9688803888623414,1.1161389113765285,1.4253836727904827,1.8365760002623859,1.8365760002623859
2020-12-10,0.051008622671909996,1.2843274849409858,1.8310961041919096,1.3696998697213538,1.8487299390710004,1.1013061453100883,1.4174866762960854,1.7198113921336025,1.7198113921336025
2020-12-11,-0.76150023901448,1.2046587701455491,1.7107817064627755,1.2932480017253607,1.7442104854265037,1.284500570333249,1.5914165817216204,1.6195248348586646,1.6195248348586646
2020-12-14,0.36772715006779,1.1120425115124632,1.5767468917589498,1.1461085125638233,1.5595510996005215,1.2276667423531054,1.5057437076707214,1.4706764964669263,1.4706764964669263
2020-12-15,0.04467682038411,1.2182504989360612,1.6503993882339267,1.2656382136460145,1.6778034037539193,1.371177676165527,1.5499602758351851,1.5879096548138991,1.5879096548138991
2020-12-16,0.31359716077142996,1.1480082043078272,1.56095167421404,1.198577089462343,1.5943866844456245,1.2059569407029498,1.4200508950377146,1.5080165158707017,1.5080165158707017
2020-12-17,0.03207646564038,1.067468782091488,1.4614143357679237,1.068898232203253,1.439601906975865,1.1397895529537592,1.3768366859456393,1.386215365666011,1.386215365666011
2020-12-18,-0.39035044679594,1.0176930388051373,1.390220137518176,1.0173153593695035,1.3702370903411842,1.0302431251277198,1.2756733308729467,1.322201265392505,1.322201265392505
2020-12-21,-2.46322841359253,0.9604065241468888,1.3075287948199694,0.9169538737756702,1.2406260165389709,0.956256490805641,1.2154292701057956,1.2222589447452927,1.2222589447452927
2020-12-22,1.35395562972024,0.9812838040154385,1.3061383687621346,0.9564181596828876,1.2709614771477231,2.8486370494031856,3.325384611674295,1.2528708240231252,1.2528708240231252
2020-12-23,1.1047501193154299,2.109390959521003,2.54384777392686,1.847426819535468,2.2729280548606203,2.525244897692234,3.0290644213854905,2.2112456153582154,2.2112456153582154
2020-12-24,-0.10100055742515002,2.1171497239595216,2.5960289105418517,1.9764609585429376,2.457868341751629,2.999813226516587,3.6299163294630716,2.3671469363622024,2.3671469363622024
2020-12-28,1.1947538975448,2.0430257718127907,2.537874084255932,1.9993632393272236,2.5073902838446154,2.76299252765949,3.370049153846778,2.382188650658482,2.382188650658482
2020-12-29,0.41803277101323005,1.833023064197377,2.3351784708624956,1.782795299931027,2.270606134145525,2.529974377597118,3.114412182636907,2.1590022836251346,2.1590022836251346
2020-12-30,-0.22084857336663,1.8500678159543043,2.3544662651986155,1.870160789060136,2.3808979811615183,2.192793653109519,2.8165825203835113,2.245624895767309,2.245624895767309
2020-12-31,-0.86092852603851,1.6852093033485236,2.1864876037871435,1.721816070095844,2.21527587547097,2.0103617350280083,2.6008755174245386,2.077767601077968,2.077767601077968
2021-01-04,0.67412386652225,1.5410399207883787,2.0369303351097376,1.5892587467756196,2.0638016589834387,1.7624817292192516,2.3658414458882118,1.927664114944049,1.927664114944049
2021-01-05,-0.43680944713534003,1.5646537581370488,2.056015749917254,1.659035138028022,2.1477837526077974,1.59723920318427,2.172584944504937,1.9962075205821104,1.9962075205821104
2021-01-06,1.1790903867112699,1.491632900330276,1.9771875223260953,1.6151326982687364,2.1054984230642737,1.412440409441674,1.9800609621200183,1.9409772003886525,1.9409772003886525
2021-01-07,0.69466538339305,1.4125134600413831,1.8796884076091764,1.5573474882187208,2.0317172206984906,1.248233936937584,1.8111806520048594,1.863015476969552,1.863015476969552
2021-01-08,0.6509764402852101,1.532987197686677,1.9905531572474593,1.679508477426247,2.175261599783624,1.1082086744968855,1.645624082165727,2.000445107695282,2.000445107695282
2021-01-11,-0.78192842446311,1.4697751294613601,1.92599245302707,1.637686469913413,2.136765572649972,1.0243859816514334,1.5110773148867402,1.949915949068237,1.949915949068237
2021-01-12,-0.20259098876407,1.4083628370644763,1.8562166915419436,1.5896405873325845,2.084976718368363,0.9313973177438313,1.3829561091604639,1.890705329393816,1.890705329393816
2021-01-13,0.20682487794329998,1.4399044518723367,1.8738664949268686,1.6359872756371208,2.12937303142669,0.8525419578766598,1.2643742601089054,1.933666825077492,1.933666825077492
2021-01-14,0.32564422483269,1.334349772154386,1.767951239360339,1.513870614074798,1.993706652656572,0.9487877759336688,1.3221327222829127,1.8046520897592553,1.8046520897592553
2021-01-15,-1.2300029386317402,1.2324367712442499,1.646357181187385,1.3671820425606152,1.8135746368484544,0.902027401084101,1.2562938903590544,1.6550204404471909,1.6550204404471909
2021-01-18,0.09938727368763,1.1595313528881708,1.5626469466104385,1.2781775042990298,1.708341042525852,1.19855702261524,1.547085156080317,1.5603633182212726,1.5603633182212726
2021-01-19,-0.33274560109438,1.4531202843293716,1.8542223624621117,1.5237190484052592,1.9821185273536206,1.0679253623286142,1.413491013600492,1.8462007033376522,1.8462007033376522
2021-01-20,0.53139780868451,1.329533142796688,1.7289351863369238,1.3528172110926078,1.7821275094034894,1.1801007915207764,1.4209067110928428,1.6847500487941733,1.6847500487941733
2021-01-21,-0.67116983506806,1.2621568628070263,1.6573728595926296,1.308712294743036,1.729643228568128,2.8273510037075575,3.3148115779811396,1.6250392599930403,1.6250392599930403
2021-01-22,-0.55998724366966,1.2195842466636932,1.6098057858666748,1.2848073633535935,1.7042709452824036,2.4893691616151923,3.0523918197404663,1.5906335591313372,1.5906335591313372
2021-01-25,-1.5810792878076,1.260167917411158,1.6386182368261755,1.3483899631050196,1.767411069377758,2.6148535016012255,3.010090128039874,1.6488048768210046,1.6488048768210046
2021-01-26,0.93053991058097,1.2568785530854223,1.6289075694526052,1.3681442085136175,1.7865816824447391,2.423582611243822,2.905447010726742,1.6601865792808002,1.6601865792808002
2021-01-27,-1.16361300225685,1.688705990388996,2.094220103981345,1.713897447775634,2.186586113011383,2.5274146072146273,3.091498172336199,2.0741176131126187,2.0741176131126187
2021-01-28,0.9279784392311899,1.6580096372475945,2.071438484555409,1.7361393211186795,2.2163361344875554,2.620518507756447,3.2564716811876497,2.085981830057971,2.085981830057971
2021-01-29,-2.0406356785215003,1.754660206787606,2.2081266594657047,1.8623101821982482,2.3928143206312416,2.560823472037087,3.0923629884108803,2.2426075354423607,2.2426075354423607
2021-02-01,1.1503827584669901,1.7112704837705124,2.1622432160347294,1.859901744556957,2.3884609953554565,2.289803534550121,2.8748231810018434,2.2235036499306964,2.2235036499306964
2021-02-02,1.84008129038107,2.2237634681821823,2.7389145065053815,2.2655574505122598,2.875328652304872,2.158977708990206,2.6799303675008397,2.7254410875158284,2.7254410875158284
2021-02-03,-0.001079592519666702,2.1282095004684742,2.65762332067723,2.2428561969242176,2.8555542884521974,1.895130427530901,2.428529986927626,2.6630651368743345,2.6630651368743345
2021-02-04,0.8143959174255999,2.3237582874794005,2.889548214082478,2.442183561599035,3.109800369981432,1.7628690177220656,2.240731699932096,2.9058990888070158,2.9058990888070158
2021-02-05,0.90026571294378,2.0698314755337495,2.635670780620727,2.1229563872172967,2.746672623385644,1.5317654788832653,2.0224178144266136,2.5855784431124875,2.5855784431124875
2021-02-08,0.47191513434668,1.9361448407228856,2.501463124592553,2.0391413576569666,2.6564216621554486,1.3886555409889125,1.853301982323518,2.471749816535744,2.471749816535744
2021-02-09,0.09686170987656001,1.8457552371275094,2.4047691761380556,1.9929871487224686,2.6058456699923798,1.240596621011742,1.700382915923892,2.4026514461755415,2.4026514461755415
2021-02-10,-0.36507018263918,1.6871318769716641,2.227546083914662,1.8368761522454813,2.417018837400454,1.1033623536590669,1.54352773855568,2.2180553565875307,2.2180553565875307
2021-02-11,-0.01728266185194,1.5251433934213097,2.0487979817307616,1.6106110214688159,2.142059262155244,1.8844473866056808,2.3560609437707467,1.9930707273352428,1.9930707273352428
2021-02-12,0.59524734025809,1.423619566231016,1.9256783486749474,1.5305230049547238,2.0382304895316277,1.6452640985414801,2.1361450511060247,1.8852472474832382,1.8852472474832382
2021-02-15,1.43745997597321,1.3009019261437762,1.7773772825216825,1.3692241967935321,1.8355004592147617,1.4957965689959376,1.9616088142044275,1.7117152625393384,1.7117152625393384
2021-02-16,0.004835228207891736,1.2609044819846666,1.7143283008381103,1.3511910312139628,1.805606755318019,1.5683988000782287,2.0465902867366657,1.6736491461069178,1.6736491461069178
