date,actual_return,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S,BB_1,BB_5,BB_10,BB_15,BB_20,BB_30,BB_35,BB_40
2022-02-23,-0.1021526896785045,3.2109906529124914,5.460713813419992,3.2426757639850976,5.71904027872035,3.7036196967280617,5.754163918828592,3.2239733285335124,5.313991821357731,2.573193341461687,2.4632284135925344,3.173651432763182,2.893324027784577,2.573193341461687,2.4632284135925344,2.4632284135925344,2.4632284135925344
2022-02-24,-3.904052964095607,2.8568954581193737,4.988136809194726,2.847236831089456,5.10561397263103,3.341794722109268,5.423099893447396,2.82344700828419,4.7960842958728405,2.4632284135925344,3.173651432763182,3.173651432763182,3.380414420066586,3.380414420066586,3.430648358001197,3.430648358001197,3.430648358001197
2022-02-25,3.4867090166039114,2.569173478566116,4.606694931083662,2.5599972065191188,4.663407868675821,3.033542465726665,5.148883613098802,2.513767149257768,4.382547509050267,3.380414420066586,3.173651432763182,3.173651432763182,2.4632284135925344,2.9594579693796432,2.573193341461687,2.573193341461687,2.573193341461687
2022-02-28,-1.3958660955896318,4.7408018268449545,7.720948558769502,4.136353977084477,7.146303103487138,5.8539956529827935,8.18442929401584,4.5026549588658105,7.054725286953856,3.380414420066586,3.173651432763182,3.173651432763182,3.173651432763182,2.573193341461687,2.573193341461687,2.573193341461687,2.573193341461687
2022-03-01,-4.01943661164254,5.531607093929657,8.930307722730891,4.94838974558005,8.475022180417604,5.407082896702577,7.756090701476875,5.397114389460815,8.368526841713054,3.810818152680174,3.173651432763182,2.9594579693796432,3.173651432763182,3.6354809996002566,3.6354809996002566,3.6354809996002566,3.6354809996002566
2022-03-02,1.574807905804971,5.019102764952898,8.261142800446189,4.642726650691454,8.02345634423812,5.1376615018674725,7.506895721310856,4.955419848646637,7.913913834594747,4.01943661164254,4.391545390277833,4.820455797712169,8.763578011350766,4.228931000345845,13.098349118744466,13.098349118744466,13.098349118744466
2022-03-03,-1.8584920924167687,6.168486573172295,10.067386167426442,5.609226280361393,9.726243741432045,7.06417825303502,9.814419527730369,6.119001361453561,9.639263501499077,4.867055885206973,4.820455797712169,13.098349118744466,13.098349118744466,13.098349118744466,13.098349118744466,4.820455797712169,2.2996137196467057
2022-03-04,-5.09288814543701,5.591051026614743,9.368911496615118,5.2164707331476015,9.207744919385226,6.2956739958410495,9.165964949670348,5.566550732608531,9.001528512405011,4.867055885206973,2.9594579693796432,4.820455797712169,8.763578011350766,8.763578011350766,8.763578011350766,4.334562501811415,8.763578011350766
2022-03-07,-1.3183617879212153,5.278619125246562,9.06088423642001,5.081045540505326,9.11737885098126,6.119711201030068,9.202376315873734,5.298689523620669,8.754872079001478,5.09288814543701,5.09288814543701,4.820455797712169,4.334562501811415,4.820455797712169,4.820455797712169,8.763578011350766,8.763578011350766
2022-03-08,-0.3233102325515916,7.168982814232306,11.864226010063756,6.450308980515457,11.497339723645114,8.731525608483478,12.333672379786998,7.1034537668993325,11.254088358240647,5.09288814543701,3.834599728553148,3.904052964095607,3.173651432763182,3.904052964095607,3.904052964095607,2.9594579693796432,3.834599728553148
2022-03-09,6.882763429594767,6.385163051418119,10.99938889531122,5.828661652463168,10.693483699038792,7.920916283714573,11.776584433693763,6.330642348209412,10.411246228249556,5.09288814543701,5.09288814543701,13.098349118744466,13.098349118744466,13.098349118744466,8.763578011350766,4.0245380484334445,4.228931000345845
2022-03-10,-2.8684689767613407,5.570830995256069,9.931906744371023,5.006928222849632,9.42205502734993,7.040908462765999,10.991917904210323,5.474878148693754,9.356126259266224,4.867055885206973,3.84572401616364,4.01943661164254,4.820455797712169,3.4374805544105707,4.0245380484334445,4.820455797712169,4.0245380484334445
2022-03-11,0.8510180353741084,8.730863574747236,14.212433529183508,7.299886302146311,13.091476764475754,6.792477730806829,10.402007059658564,8.518570488848603,13.33879443875193,3.173651432763182,3.3712811232574587,4.0245380484334445,3.173651432763182,4.334562501811415,2.893324027784577,3.904052964095607,3.173651432763182
2022-03-14,1.7369920772138885,8.184768447350041,13.737382270291729,7.078956705031822,13.020577826282157,7.164403192813977,10.985675141696566,8.053326350219495,12.989578123762566,5.924363121312828,5.09288814543701,8.763578011350766,13.098349118744466,6.119155618742112,4.820455797712169,4.820455797712169,4.01943661164254
2022-03-15,-0.2348136547540202,7.14728306674382,12.512316117837038,6.111359417416218,11.537220357067122,6.367527122869351,10.291216646634338,6.984924972849402,11.700390824001348,4.228931000345845,6.119155618742112,6.119155618742112,6.119155618742112,13.098349118744466,13.098349118744466,13.098349118744466,1.5293010957895532
2022-03-16,3.610507003291055,6.457439462395044,11.621646786689537,5.680520360861314,10.806696177683811,5.699331647893705,9.599897696017903,6.338443172278236,10.851843132292109,6.119155618742112,6.119155618742112,4.820455797712169,5.924363121312828,3.84572401616364,8.763578011350766,4.01943661164254,4.334562501811415
2022-03-17,0.3617850033862277,5.633586212962241,10.50671741300076,4.875655807554398,9.461454279088697,5.087490170900261,9.003701563634827,5.482194466377593,9.714017331401848,5.924363121312828,8.763578011350766,5.09288814543701,5.09288814543701,8.763578011350766,4.01943661164254,2.9594579693796432,2.2996137196467057
2022-03-18,0.116683376280396,6.170882476427763,11.076533810694563,5.514216088010027,10.43535732218376,4.746349120795858,8.461041659388895,6.101502179326902,10.433691834735926,4.820455797712169,3.4374805544105707,4.820455797712169,4.391545390277833,8.763578011350766,3.84572401616364,2.893324027784577,3.834599728553148
2022-03-21,-0.5742860601198375,5.389632879863108,9.98295505904516,4.73719390309334,9.094781504076046,4.23517778741577,7.886209886809314,5.289072455646614,9.31955636494658,3.904052964095607,3.380414420066586,3.173651432763182,3.380414420066586,6.119155618742112,4.820455797712169,2.8684689767613407,3.3712811232574587
2022-03-22,1.164211763275202,4.709835001347357,9.096812445739728,4.02613857530616,7.899353770878843,3.78360882845168,7.408734534462083,4.569779773533779,8.33536886890247,3.4374805544105707,4.01943661164254,4.01943661164254,2.573193341461687,4.0245380484334445,3.84572401616364,3.430648358001197,4.228931000345845
2022-03-23,-1.1778841840393943,4.186308707685959,8.35128173316585,3.6818626274872903,7.272897704559107,3.485596461430671,7.056337868805101,4.049476499326329,7.567043072161547,4.867055885206973,2.712977882112936,3.173651432763182,2.712977882112936,2.9594579693796432,2.9594579693796432,3.173651432763182,3.173651432763182
2022-03-24,-0.3906492784022474,3.8513003535771,7.758599519336845,3.5648047814469512,6.964607466022334,3.1627824318072806,6.611938318479438,3.758797518371423,7.04444314502661,2.9594579693796432,3.904052964095607,3.430648358001197,8.763578011350766,4.0245380484334445,3.173651432763182,2.712977882112936,4.01943661164254
2022-03-25,-0.0318830116681834,3.64680982040951,7.384734084095857,3.548629441798109,6.897523606367373,3.2828633583675755,6.591406187608547,3.60661619917218,6.757145315862379,4.0245380484334445,2.1319834159869435,3.3712811232574587,4.01943661164254,4.0245380484334445,2.573193341461687,8.763578011350766,3.173651432763182
2022-03-28,0.5391514772501524,3.2463742055511244,6.653799758558447,3.22714269480764,6.259890962904842,3.0073168286312053,6.154987620319956,3.211056435823977,6.104081672618303,3.173651432763182,3.3712811232574587,3.3712811232574587,2.9594579693796432,3.3712811232574587,3.904052964095607,3.3712811232574587,3.173651432763182
2022-03-29,3.035076332812499,2.8713251479616395,6.040924906638502,2.830123018608473,5.5770883415045285,2.7164682932896995,5.747565608703912,2.8207625327513624,5.437850044203612,3.4374805544105707,3.3712811232574587,4.0245380484334445,4.820455797712169,4.0245380484334445,2.9594579693796432,3.173651432763182,3.173651432763182
2022-03-30,-0.7473249891594712,2.6018780796657524,5.431280891167841,2.6440675370837403,5.108271242779502,2.4738008184169438,5.301222755332304,2.5680344870722487,4.921221185021648,3.84572401616364,2.9594579693796432,3.3712811232574587,3.3712811232574587,3.3712811232574587,2.9594579693796432,2.9594579693796432,4.820455797712169
2022-03-31,-1.2195796532147178,3.913078747507596,7.038353494494919,3.6505468672183503,6.696191301094448,2.591256344695102,5.143346638104426,3.8460935612409513,6.5728305105902365,2.573193341461687,3.3712811232574587,3.3712811232574587,3.173651432763182,3.173651432763182,2.9594579693796432,3.810818152680174,4.0245380484334445
2022-04-01,0.3663015398709954,3.5713362308395324,6.530051554420998,3.453870338092794,6.366593075724548,2.583138527156306,5.003155609423649,3.5256757664141003,6.134623111852321,4.01943661164254,4.0245380484334445,3.430648358001197,4.820455797712169,3.173651432763182,4.228931000345845,3.810818152680174,2.712977882112936
2022-04-04,0.7015708633823619,3.445223121068906,6.283873556140663,3.474124134559456,6.358169241942704,2.877344961249724,5.204693752342062,3.438159239205929,6.019584732761197,3.84572401616364,3.834599728553148,13.098349118744466,4.820455797712169,13.098349118744466,4.228931000345845,3.834599728553148,2.573193341461687
2022-04-05,-1.2837303083254463,3.090572462421387,5.698573826492326,3.123815811004891,5.695832184142204,2.636041594796079,4.8433304630291145,3.0731761809595928,5.446752645496421,2.4632284135925344,3.430648358001197,2.712977882112936,3.173651432763182,3.3712811232574587,3.173651432763182,3.173651432763182,2.573193341461687
2022-04-06,-2.2319230666571466,2.8492930047582514,5.254720010298915,2.9565102239172965,5.340365158251721,2.437043926836946,4.5175772206139335,2.840915826422082,5.047051565877484,2.712977882112936,2.9594579693796432,3.173651432763182,3.4374805544105707,3.173651432763182,3.173651432763182,3.173651432763182,3.810818152680174
